SOURCE_FEA,EVENTTYPE,STATION_NM,STATE,LON_SITE,LAT_SITE
10382600,StreamGage,"CHEWAUCAN RIVER BLW COFFEEPOT CR NR PAISLEY, OR.",OR,-120.59552648,42.56848636
13092747,StreamGage,ROCK CREEK AB HWY 30/93 XING AT TWIN FALLS ID,ID,-114.49472222,42.5625
13077600,StreamGage,EF ROCK CREEK NR ROCK CREEK,ID,-112.78901111,42.56184722
13181000,StreamGage,OWYHEE RIVER NR ROME OR,OR,-117.64916667,42.86638889
13167500,StreamGage,EF BRUNEAU RIVER NR HOT SPRING ID,ID,-115.51022222,42.55675
10386500,StreamGage,"CHEWAUCAN R AT HOTCHKISS FD NR PAISLEY,OREG.",OR,-120.31774039,42.54987793
13082300,StreamGage,MARSH CREEK NR ALBION ID,ID,-113.52028272,42.45546601
13095000,StreamGage,DEEP CREEK NR BUHL ID,ID,-114.8453316,42.61795993
14337800,StreamGage,"ELK CREEK NEAR CASCADE GORGE,OREG.",OR,-122.67198636,42.77345862
13080000,StreamGage,NORTH SIDE MINIDOKA CANAL NR MINIDOKA ID,ID,-113.48325833,42.67123889
14333000,StreamGage,MIDDLE FK ROGUE RIVER NR PROSPECT OREG.,OR,-122.40114348,42.73318402
13075100,StreamGage,RAPID CREEK NR INKOM ID,ID,-112.23024764,42.80047094
14331000,StreamGage,"IMNAHA CREEK NEAR PROSPECT, OREG.",OR,-122.38447564,42.69985124
13076207,StreamGage,AMERICAN FALLS RES AT RAINBOW BEACH NR POCATELLO,ID,-112.71582269,42.87546832
13134554,StreamGage,SNAKE R AT UPPER SALMON FALLS DAM NR HAGERMAN ID,ID,-114.89552222,42.76691111
13075000,StreamGage,MARSH CREEK NR MCCAMMON ID,ID,-112.22596667,42.63
13093150,StreamGage,SONNICKSON BUTTE DRAIN NR JEROME ID,ID,-114.55809821,42.64435216
13082000,StreamGage,SNAKE R NR MINIDOKA ID (AT MONTGOMERY FERRY),ID,-113.58648889,42.62015556
13076200,StreamGage,BANNOCK CREEK NR POCATELLO ID,ID,-112.64248658,42.88602435
14312050,StreamGage,"ROBERTS CREEK NEAR ROSEBURG, OR.",OR,-123.38173841,43.1531717
13023000,StreamGage,GREYS RIVER AB RESERVOIR NR ALPINE WY,WY,-110.97666667,43.14277778
13057500,StreamGage,GRAYS LAKE OUTLET NR HERMAN ID,ID,-111.49522648,43.13464026
14312000,StreamGage,"SOUTH UMPQUA RIVER NEAR BROCKWAY, OR",OR,-123.39840527,43.13317169
13028000,StreamGage,SALT RIVER NR ALPINE WY,WY,-111.03471944,43.1325
